yahoo_ticker,name,market,surge_ratio,adtv_recent,adtv_2024,n_days_2024,recent_start,recent_end
5DM.SI,Ying Li Intl,MAINBOARD,0.03938444348742916,4304.580228105187,109296.45938704544,252,2026-09-01,2026-09-07
DU4.SI,Mermaid Maritime,MAINBOARD,0.0379638526800187,39113.420467972755,1030280.5881595653,252,2026-09-01,2026-09-07
8K7.SI,UGHealthcare,CATALIST,0.029855017022024026,5487.759932279587,183813.65946739438,252,2026-09-01,2026-09-07
1F3.SI,Aspen,MAINBOARD,0.01906604671119223,2892.0399751514196,151685.35034867623,252,2026-09-01,2026-09-07
Z59.SI,Yoma Strategic,MAINBOARD,0.015648039881252483,31901.75997555256,2038706.4589331246,252,2026-09-01,2026-09-07
VI2.SI,TC Auto,CATALIST,0.009190089259240284,1548.579991608858,168505.43535818436,252,2026-08-31,2026-09-04
SES.SI,Shanaya,CATALIST,0.005426218874417578,745.2400236204267,137340.57561406732,252,2026-08-31,2026-09-04
N02.SI,NSL,MAINBOARD,0.0039025741320425546,3582.6000344753265,918009.476119866,252,2026-08-31,2026-09-04
EMI.SI,Emperador Inc.,MAINBOARD,0.00044250621863361827,204.0000021457672,461010.4752328306,252,2026-08-31,2026-09-04
BQD.SI,Envictus,MAINBOARD,0.0,0.0,223231.81787221477,252,2026-08-31,2026-09-04
43A.SI,OCTOPUS,CATALIST,0.0,0.0,127789.4963688029,252,2026-08-31,2026-09-04
