yahoo_ticker,name,market,surge_ratio,adtv_recent,adtv_2024,n_days_2024,recent_start,recent_end,rank
5TP.SI,CNMC Goldmine,MAINBOARD,54.26369650428402,5820918.665561676,107270.95720620736,252,2026-08-27,2026-09-02,1
H22.SI,Hong Leong Asia,MAINBOARD,44.70449029544006,6740258.799104691,150773.64163107815,252,2026-08-27,2026-09-02,2
U10.SI,UOB Kay Hian,MAINBOARD,16.44612753569468,3550346.270112992,215877.3402679336,252,2026-08-27,2026-09-02,3
I07.SI,ISDN,MAINBOARD,13.787338142612168,3951112.418677807,286575.43448986765,252,2026-08-27,2026-09-02,4
U96.SI,Sembcorp Ind,MAINBOARD,10.916923501835171,185008713.45065013,16946964.354888953,252,2026-08-27,2026-09-02,5
H02.SI,Haw Par,MAINBOARD,9.86666138068782,7545399.703979492,764736.8661853775,252,2026-08-27,2026-09-02,6
P8Z.SI,Bumitama Agri,MAINBOARD,9.468238250657542,4199059.983549118,443489.0496399904,252,2026-08-27,2026-09-02,7
AWX.SI,AEM SGD,MAINBOARD,6.7903728611271,33242151.12762451,4895482.443670525,252,2026-08-27,2026-09-02,8
F9D.SI,Boustead,MAINBOARD,6.393998976893164,1095330.601928234,171306.03334260365,252,2026-08-27,2026-09-02,9
QS9.SI,G Invacom,MAINBOARD,5.993256258471213,862994.6831444651,143994.29057028203,252,2026-08-27,2026-09-02,10
