yahoo_ticker,name,market,surge_ratio,adtv_recent,adtv_2024,n_days_2024,recent_start,recent_end,rank
5TP.SI,CNMC Goldmine,CATALIST,52.57137570206927,5639381.793208122,107270.95720620736,252,2026-08-04,2026-08-11,1
H22.SI,Hong Leong Asia,MAINBOARD,28.374532622557933,4278131.613082886,150773.64163107815,252,2026-08-04,2026-08-11,2
U10.SI,UOB Kay Hian,MAINBOARD,11.965313873037063,2583040.134382248,215877.3402679336,252,2026-08-04,2026-08-11,3
I07.SI,ISDN,MAINBOARD,9.392324769883457,2691609.5517992973,286575.43448986765,252,2026-08-04,2026-08-11,4
544.SI,CSE Global,MAINBOARD,6.049965138592918,6295037.730631828,1040508.0998691357,252,2026-08-04,2026-08-11,5
AWX.SI,AEM SGD,MAINBOARD,5.601998473998427,27424485.17892837,4895482.443670525,252,2026-08-04,2026-08-11,6
P8Z.SI,Bumitama Agri,MAINBOARD,5.158929640048222,2287928.803224564,443489.0496399904,252,2026-08-04,2026-08-11,7
F9D.SI,Boustead,MAINBOARD,4.824924004183444,826538.5923361778,171306.03334260365,252,2026-08-04,2026-08-11,8
S59.SI,SIA Engineering,MAINBOARD,4.31047897230626,2527503.764271736,586362.6247826077,252,2026-08-04,2026-08-11,9
5LY.SI,MarcoPolo Marine,MAINBOARD,4.295474040137776,3582592.80813694,834038.9849084105,252,2026-08-04,2026-08-11,10
