yahoo_ticker,name,market,surge_ratio,adtv_recent,adtv_2024,n_days_2024,recent_start,recent_end,rank
H22.SI,Hong Leong Asia,MAINBOARD,31.593378628153623,4763448.7471961975,150773.64163107815,252,2026-09-08,2026-09-14,1
5TP.SI,CNMC Goldmine,MAINBOARD,24.206695626549823,2596675.410659313,107270.95720620736,252,2026-09-08,2026-09-14,2
I07.SI,ISDN,MAINBOARD,17.850611109495304,5115546.634613276,286575.43448986765,252,2026-09-08,2026-09-14,3
U10.SI,UOB Kay Hian,MAINBOARD,13.34913358457445,2881775.453119278,215877.3402679336,252,2026-09-08,2026-09-14,4
P8Z.SI,Bumitama Agri,MAINBOARD,11.227572809878362,4979305.595216751,443489.0496399904,252,2026-09-08,2026-09-14,5
544.SI,CSE Global,MAINBOARD,8.854180558056166,9212846.588361263,1040508.0998691357,252,2026-09-08,2026-09-14,6
EB5.SI,First Resources,MAINBOARD,8.092668586286518,12675097.0098114,1566244.4192129732,252,2026-09-08,2026-09-14,7
AWX.SI,AEM SGD,MAINBOARD,7.940768767136544,38873894.08876419,4895482.443670525,252,2026-09-08,2026-09-14,8
H02.SI,Haw Par,MAINBOARD,7.237337267211501,5534658.621253967,764736.8661853775,252,2026-09-08,2026-09-14,9
5LY.SI,MarcoPolo Marine,MAINBOARD,5.598670296592196,4669509.291006625,834038.9849084105,252,2026-09-08,2026-09-14,10
